代码,名称,收盘价,涨幅%,量比,标签,板块
000811.SZ,冰轮环境,44.97,1.77,2.77,持续,机械行业
603823.SH,百合花,52.2,1.6,0.94,持续,其他
603650.SH,彤程新材,70.2,1.5,1.3,持续,其他
688419.SH,耐科装备,72.5,1.41,0.87,持续,机械
002428.SZ,云南锗业,111.9,1.29,1.38,持续,有色金属
300319.SZ,麦捷科技,32.03,1.26,1.08,持续,电子器件
002515.SZ,金字火腿,10.34,1.17,0.75,持续,食品行业
301528.SZ,多浦乐,95.04,1.12,0.94,持续,其他
603001.SH,奥康国际,12.85,1.02,0.99,持续,服装鞋类
603083.SH,剑桥科技,238.37,1.01,1.26,持续,其他
600176.SH,中国巨石,58.93,0.94,1.18,持续,玻璃行业
300346.SZ,南大光电,71.43,0.89,1.36,持续,电子器件
688530.SH,欧莱新材,79.25,0.85,1.09,持续,其他
688536.SH,XD思瑞浦,346.93,0.85,0.78,持续,其他
300613.SZ,富瀚微,69.14,0.76,0.89,持续,其他
300223.SZ,北京君正,194.0,0.65,1.0,持续,电子器件
688548.SH,广钢气体,38.57,0.5,1.4,持续,其他
688409.SH,富创精密,204.98,0.48,0.74,持续,其他
301072.SZ,中捷精工,40.04,0.48,0.7,持续,其他
603283.SH,赛腾股份,65.29,0.45,0.76,持续,其他
002371.SZ,北方华创,747.49,0.33,0.93,持续,电子器件
002971.SZ,和远气体,73.0,0.3,0.72,持续,其他
002079.SZ,苏州固锝,14.02,0.29,0.98,持续,电子器件
300951.SZ,博硕科技,58.42,0.24,1.27,持续,其他
600498.SH,烽火通信,82.75,0.23,0.91,持续,电子信息
600641.SH,先导基电,36.08,0.19,1.14,持续,房地产
603211.SH,晋拓股份,37.0,0.19,1.07,持续,其他
300903.SZ,科翔股份,110.13,0.12,0.95,持续,其他
603773.SH,沃格光电,172.15,0.08,1.08,持续,电子
300522.SZ,世名科技,23.04,-0.04,1.21,持续,其他
601995.SH,中金公司,35.42,-0.06,1.91,持续,其他
300054.SZ,鼎龙股份,91.3,-0.11,0.93,持续,化工行业
600552.SH,凯盛科技,25.61,-0.16,1.79,持续,玻璃行业
002655.SZ,共达电声,46.79,-0.17,2.99,持续,电子器件
600869.SH,远东股份,36.08,-0.19,0.9,持续,电力行业
688012.SH,中微公司,371.72,-0.27,1.25,持续,其他
300558.SZ,贝达药业,58.35,-0.34,1.12,持续,医药
002972.SZ,科安达,17.23,-0.35,0.68,持续,其他
301280.SZ,珠城科技,51.0,-0.37,0.74,持续,其他
603976.SH,正川股份,28.0,-0.43,1.84,持续,其他
002805.SZ,丰元股份,29.4,-0.57,1.32,持续,其他
300179.SZ,四方达,56.99,-0.85,1.52,持续,其他
300943.SZ,春晖智控,45.3,-0.85,1.14,持续,其他
000510.SZ,新金路,24.1,-0.86,1.64,持续,化工行业
002491.SZ,通鼎互联,33.68,-0.94,0.91,持续,电子信息
600906.SH,财达证券,7.78,-1.02,1.06,持续,金融
600030.SH,中信证券,28.32,-1.12,1.36,持续,金融行业
002072.SZ,凯瑞德,9.24,-1.18,0.62,持续,纺织行业
301618.SZ,长联科技,42.79,-1.45,1.1,持续,其他
300709.SZ,精研科技,64.4,-1.47,0.6,持续,其他
300475.SZ,香农芯创,283.51,-1.49,1.03,持续,其他
000922.SZ,佳电股份,14.44,-1.5,0.76,持续,电器行业
600162.SH,香江控股,3.88,-1.52,1.09,持续,房地产
000668.SZ,荣丰控股,23.03,-1.71,0.75,持续,房地产
688120.SH,华海清科,231.01,-1.74,0.74,持续,其他
600105.SH,永鼎股份,62.49,-1.9,0.98,持续,电子信息
301321.SZ,翰博高新,39.01,-1.91,0.78,持续,其他
600226.SH,亨通股份,10.37,-1.98,1.01,持续,农药化肥
000519.SZ,中兵红箭,21.91,-2.06,1.34,持续,机械行业
000021.SZ,深科技,45.7,-2.1,1.06,持续,电子信息
300037.SZ,新宙邦,88.0,-2.21,0.83,持续,化工行业
301252.SZ,同星科技,45.0,-2.24,0.93,持续,其他
600487.SH,亨通光电,117.31,-2.35,0.88,持续,电子信息
002824.SZ,和胜股份,38.74,-2.42,1.03,持续,其他
603262.SH,技源集团,29.65,-2.6,1.67,持续,次新股
603989.SH,艾华集团,44.42,-2.69,2.23,持续,其它行业
603020.SH,爱普股份,14.47,-2.69,0.52,持续,食品行业
688233.SH,神工股份,124.93,-2.81,0.72,持续,其他
002179.SZ,中航光电,41.5,-2.88,1.07,持续,电子器件
688498.SH,源杰科技,1818.3,-2.95,0.99,持续,其他
301319.SZ,唯特偶,180.51,-2.95,0.89,持续,其他
